year,home_team_id,away_team_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_team_goal,away_team_goal
2009,135,146,2086,2379,2093,1686,4768,838,2397,2381,1456,7403,1893,1691,288,1878,1113,5628,1883,1690,1317,,1654,4124,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,2,2
2009,136,94,1542,,1595,1925,4541,1935,155,5199,7298,2165,328,1747,3863,1685,3437,1724,1740,1738,1868,8370,6012,1936,1,2,4,8,6,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2
2009,134,140,1316,1873,1370,1359,1372,1722,1706,2128,4195,1840,1884,2123,1869,1843,4048,2901,333,1369,7838,1377,4073,4408,1,2,4,6,8,2,4,6,8,6,4,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3
2009,143,149,8921,1853,2383,7238,1849,3962,2171,8555,5013,8663,2138,1701,1394,1704,1697,8232,1703,1694,1739,192,3496,9133,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,1
2009,199,224,1732,1695,2376,5194,793,794,1838,2491,2675,2458,4299,1912,300,1909,4321,1910,1900,1906,1913,1841,1380,4496,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,0,2
2009,6,150,1864,2094,798,2373,795,791,1396,4702,799,5446,2311,1876,1880,1721,1870,790,1874,8634,1866,,5595,4767,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,4,1
2009,148,142,1860,,1837,8264,8263,4226,7763,335,5443,1716,6848,4250,1327,1324,1861,1895,8899,2071,1334,2073,301,592,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,1
2009,94,224,1747,1314,6360,3863,8556,2378,1868,8370,9351,7969,1936,1912,300,1909,1910,1841,1900,1906,1913,2666,1380,4106,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,4,2
2009,135,137,2086,2379,1686,4768,9016,1456,838,7403,5442,7240,1893,1711,2072,1854,8314,5432,34,1933,,3602,5433,3281,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,0
2009,146,149,1691,1113,4771,2144,5628,1883,1690,,8011,1654,,1701,1694,1704,1697,8232,1700,1739,192,1828,3496,2124,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2
2009,136,199,1542,,1923,1595,,1925,2228,1935,2674,155,2165,1732,1695,2376,1937,151,1838,1844,2675,5649,2458,4299,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,3,3
2009,6,143,2377,798,2373,2076,210,791,1396,2181,4702,6653,5446,1851,1853,2383,7238,1849,2171,1852,8555,5013,592,1332,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,2,0
2009,148,134,1860,,1837,8264,1366,7763,4334,6827,8263,5443,1716,149,1873,1370,2075,1814,7877,1372,2070,2128,4195,1884,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,3,2
2009,142,150,4250,1745,1327,1324,1861,1895,1330,2071,2073,301,4699,1876,1880,3590,6362,790,1361,1874,4900,5769,2484,7294,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,3,1
2009,94,140,1747,1314,2378,6360,3863,1738,1868,8370,9351,1936,3453,2123,1369,1869,4048,2126,333,7838,9421,1377,4073,4408,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,0
2009,224,136,1912,300,1910,1841,1353,1906,1913,2666,4106,1380,5503,1542,,2228,2523,4541,1925,1935,2131,7298,2165,1924,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,2,0
2009,137,6,1711,1854,8314,5433,5432,34,1933,2347,3602,3281,2082,2377,798,2373,2311,210,791,1396,2181,4702,5446,5420,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,2
